#  Chi is reported as CHI_(i)_(j) \hbar \omega (meV)  Re(chi) (mu_B^2/meV) Im(chi) (mu_B^2/meV) 
     chi_1_2=  0.000000000000000E+00  -.438161487719730E-02  -.188736698750589E-02
     chi_2_2=  0.000000000000000E+00  0.575397949816709E-01  0.638990490071985E-05
     chi_3_2=  0.000000000000000E+00  -.958995348365558E-11  -.470761617081816E-10
     chi_1_2=  0.100000000000000E+00  -.438301492909693E-02  -.101224631928295E-02
     chi_2_2=  0.100000000000000E+00  0.575421366783858E-01  0.171765107261407E-04
     chi_3_2=  0.100000000000000E+00  -.109628024491020E-10  -.473348639606047E-10
     chi_1_2=  0.200000000000000E+00  -.438521225937260E-02  -.136768367162253E-03
     chi_2_2=  0.200000000000000E+00  0.575466302129748E-01  0.279740843892721E-04
     chi_3_2=  0.200000000000000E+00  -.123366750860299E-10  -.475969158167349E-10
     chi_1_2=  0.300000000000000E+00  -.438820856745910E-02  0.739225666050424E-03
     chi_2_2=  0.300000000000000E+00  0.575532781473776E-01  0.387865352700795E-04
     chi_3_2=  0.300000000000000E+00  -.137118297827368E-10  -.478623711256900E-10
     chi_1_2=  0.400000000000000E+00  -.439200604516605E-02  0.161589496210804E-02
     chi_2_2=  0.400000000000000E+00  0.575620838208091E-01  0.496177879278634E-04
     chi_3_2=  0.400000000000000E+00  -.150885256498125E-10  -.481312853706084E-10
     chi_1_2=  0.500000000000000E+00  -.439660737970020E-02  0.249339918501439E-02
     chi_2_2=  0.500000000000000E+00  0.575730513531105E-01  0.604717857398224E-04
     chi_3_2=  0.500000000000000E+00  -.164670226781656E-10  -.484037157070695E-10
     chi_1_2=  0.600000000000000E+00  -.440201575733319E-02  0.337189857937308E-02
     chi_2_2=  0.600000000000000E+00  0.575861856488166E-01  0.713524945733724E-04
     chi_3_2=  0.600000000000000E+00  -.178475818981417E-10  -.486797210034406E-10
     chi_1_2=  0.700000000000000E+00  -.440823486772404E-02  0.425155406951891E-02
     chi_2_2=  0.700000000000000E+00  0.576014924019481E-01  0.822639064985332E-04
     chi_3_2=  0.700000000000000E+00  -.192304655399330E-10  -.489593618832034E-10
     chi_1_2=  0.800000000000000E+00  -.441526890890531E-02  0.513252735956323E-02
     chi_2_2=  0.800000000000000E+00  0.576189781015463E-01  0.932100435469219E-04
     chi_3_2=  0.800000000000000E+00  -.206159371954898E-10  -.492427007693316E-10
     chi_1_2=  0.900000000000000E+00  -.442312259294453E-02  0.601498103448296E-02
     chi_2_2=  0.900000000000000E+00  0.576386500379557E-01  0.104194961524090E-03
     chi_3_2=  0.900000000000000E+00  -.220042619821462E-10  -.495298019307899E-10
     chi_1_2=  0.100000000000000E+01  -.443180115229409E-02  0.689907866238740E-02
     chi_2_2=  0.100000000000000E+01  0.576605163098482E-01  0.115222753881893E-03
     chi_3_2=  0.100000000000000E+01  -.233957067081641E-10  -.498207315312126E-10
     chi_1_2=  0.110000000000000E+01  -.444131034684418E-02  0.778498489810011E-02
     chi_2_2=  0.110000000000000E+01  0.576845858320356E-01  0.126297555657956E-03
     chi_3_2=  0.110000000000000E+01  -.247905400404283E-10  -.501155576798632E-10
     chi_1_2=  0.120000000000000E+01  -.445165647169430E-02  0.867286558819372E-02
     chi_2_2=  0.120000000000000E+01  0.577108683440510E-01  0.137423547489460E-03
     chi_3_2=  0.120000000000000E+01  -.261890326745045E-10  -.504143504849404E-10
     chi_1_2=  0.130000000000000E+01  -.446284636566121E-02  0.956288787762116E-02
     chi_2_2=  0.130000000000000E+01  0.577393744195383E-01  0.148604959708455E-03
     chi_3_2=  0.130000000000000E+01  -.275914575072909E-10  -.507171821093226E-10
     chi_1_2=  0.140000000000000E+01  -.447488742054440E-02  0.104552203180905E-01
     chi_2_2=  0.140000000000000E+01  0.577701154764481E-01  0.159846076526478E-03
     chi_3_2=  0.140000000000000E+01  -.289980898125026E-10  -.510241268288524E-10
     chi_1_2=  0.150000000000000E+01  -.448778759116837E-02  0.113500329783299E-01
     chi_2_2=  0.150000000000000E+01  0.578031037880743E-01  0.171151240316363E-03
     chi_3_2=  0.150000000000000E+01  -.304092074192201E-10  -.513352610932508E-10
     chi_1_2=  0.160000000000000E+01  -.450155540622649E-02  0.122474975564038E-01
     chi_2_2=  0.160000000000000E+01  0.578383524949350E-01  0.182524855999197E-03
     chi_3_2=  0.160000000000000E+01  -.318250908937562E-10  -.516506635897673E-10
     chi_1_2=  0.170000000000000E+01  -.451619997995200E-02  0.131477874942323E-01
     chi_2_2=  0.170000000000000E+01  0.578758756175379E-01  0.193971395545243E-03
     chi_3_2=  0.170000000000000E+01  -.332460237250940E-10  -.519704153096880E-10
     chi_1_2=  0.180000000000000E+01  -.453173102464180E-02  0.140510780944844E-01
     chi_2_2=  0.180000000000000E+01  0.579156880700342E-01  0.205495402597205E-03
     chi_3_2=  0.180000000000000E+01  -.346722925141542E-10  -.522945996178049E-10
     chi_1_2=  0.190000000000000E+01  -.454815886406494E-02  0.149575466400103E-01
     chi_2_2=  0.190000000000000E+01  0.579578056747962E-01  0.217101497225367E-03
     chi_3_2=  0.190000000000000E+01  -.361041871671685E-10  -.526233023249791E-10
     chi_1_2=  0.200000000000000E+01  -.456549444778710E-02  0.158673725159931E-01
     chi_2_2=  0.200000000000000E+01  0.580022451779511E-01  0.228794380823983E-03
     chi_3_2=  0.200000000000000E+01  -.375420010934399E-10  -.529566117639390E-10
     chi_1_2=  0.210000000000000E+01  -.458374936644298E-02  0.167807373349982E-01
     chi_2_2=  0.210000000000000E+01  0.580490242658803E-01  0.240578841158913E-03
