#                \hbar \omega(eV)     Re(chi) (e^2*a_0^2/eV) Im(chi) (e^2*a_0^2/eV)
     chi_1_1=  0.000000000000000E+00  -.170689099320275E+00  -.454340014566197E-16
     chi_1_1=  0.100000000000000E-01  -.170689205980602E+00  -.110714387753165E-04
     chi_1_1=  0.200000000000000E-01  -.170689525960575E+00  -.221438108334834E-04
     chi_1_1=  0.300000000000000E-01  -.170690059257149E+00  -.332180500281031E-04
     chi_1_1=  0.400000000000000E-01  -.170690805865196E+00  -.442950913536021E-04
     chi_1_1=  0.500000000000000E-01  -.170691765777417E+00  -.553758715145656E-04
     chi_1_1=  0.600000000000000E-01  -.170692938984232E+00  -.664613294936281E-04
     chi_1_1=  0.700000000000000E-01  -.170694325473623E+00  -.775524071174522E-04
     chi_1_1=  0.800000000000000E-01  -.170695925230956E+00  -.886500496202439E-04
     chi_1_1=  0.900000000000000E-01  -.170697738238754E+00  -.997552062042085E-04
     chi_1_1=  0.100000000000000E+00  -.170699764476449E+00  -.110868830596284E-03
     chi_1_1=  0.110000000000000E+00  -.170702003920090E+00  -.121991881600431E-03
     chi_1_1=  0.120000000000000E+00  -.170704456542008E+00  -.133125323644661E-03
     chi_1_1=  0.130000000000000E+00  -.170707122310464E+00  -.144270127321910E-03
     chi_1_1=  0.140000000000000E+00  -.170710001189236E+00  -.155427269923756E-03
     chi_1_1=  0.150000000000000E+00  -.170713093137178E+00  -.166597735965855E-03
     chi_1_1=  0.160000000000000E+00  -.170716398107741E+00  -.177782517703857E-03
     chi_1_1=  0.170000000000000E+00  -.170719916048439E+00  -.188982615638410E-03
     chi_1_1=  0.180000000000000E+00  -.170723646900298E+00  -.200199039007729E-03
     chi_1_1=  0.190000000000000E+00  -.170727590597227E+00  -.211432806266013E-03
     chi_1_1=  0.200000000000000E+00  -.170731747065373E+00  -.222684945545839E-03
     chi_1_1=  0.210000000000000E+00  -.170736116222419E+00  -.233956495102457E-03
     chi_1_1=  0.220000000000000E+00  -.170740697976831E+00  -.245248503737715E-03
     chi_1_1=  0.230000000000000E+00  -.170745492227060E+00  -.256562031201114E-03
     chi_1_1=  0.240000000000000E+00  -.170750498860703E+00  -.267898148565260E-03
     chi_1_1=  0.250000000000000E+00  -.170755717753593E+00  -.279257938572765E-03
     chi_1_1=  0.260000000000000E+00  -.170761148768861E+00  -.290642495951351E-03
     chi_1_1=  0.270000000000000E+00  -.170766791755927E+00  -.302052927693689E-03
     chi_1_1=  0.280000000000000E+00  -.170772646549444E+00  -.313490353298182E-03
     chi_1_1=  0.290000000000000E+00  -.170778712968194E+00  -.324955904966690E-03
     chi_1_1=  0.300000000000000E+00  -.170784990813924E+00  -.336450727754816E-03
     chi_1_1=  0.310000000000000E+00  -.170791479870119E+00  -.347975979670179E-03
     chi_1_1=  0.320000000000000E+00  -.170798179900739E+00  -.359532831713731E-03
     chi_1_1=  0.330000000000000E+00  -.170805090648886E+00  -.371122467858936E-03
     chi_1_1=  0.340000000000000E+00  -.170812211835424E+00  -.382746084963343E-03
     chi_1_1=  0.350000000000000E+00  -.170819543157547E+00  -.394404892606801E-03
     chi_1_1=  0.360000000000000E+00  -.170827084287290E+00  -.406100112850337E-03
     chi_1_1=  0.370000000000000E+00  -.170834834870003E+00  -.417832979909494E-03
     chi_1_1=  0.380000000000000E+00  -.170842794522759E+00  -.429604739735695E-03
     chi_1_1=  0.390000000000000E+00  -.170850962832742E+00  -.441416649499084E-03
     chi_1_1=  0.400000000000000E+00  -.170859339355570E+00  -.453269976966139E-03
     chi_1_1=  0.410000000000000E+00  -.170867923613606E+00  -.465165999765287E-03
     chi_1_1=  0.420000000000000E+00  -.170876715094217E+00  -.477106004533746E-03
     chi_1_1=  0.430000000000000E+00  -.170885713248022E+00  -.489091285938803E-03
     chi_1_1=  0.440000000000000E+00  -.170894917487112E+00  -.501123145566907E-03
     chi_1_1=  0.450000000000000E+00  -.170904327183265E+00  -.513202890674083E-03
     chi_1_1=  0.460000000000000E+00  -.170913941666144E+00  -.525331832791374E-03
     chi_1_1=  0.470000000000000E+00  -.170923760221517E+00  -.537511286179395E-03
     chi_1_1=  0.480000000000000E+00  -.170933782089470E+00  -.549742566126364E-03
     chi_1_1=  0.490000000000000E+00  -.170944006462659E+00  -.562026987084476E-03
     chi_1_1=  0.500000000000000E+00  -.170954432484578E+00  -.574365860639899E-03
     chi_1_1=  0.510000000000000E+00  -.170965059247887E+00  -.586760493312222E-03
     chi_1_1=  0.520000000000000E+00  -.170975885792784E+00  -.599212184179690E-03
     chi_1_1=  0.530000000000000E+00  -.170986911105447E+00  -.611722222327177E-03
     chi_1_1=  0.540000000000000E+00  -.170998134116553E+00  -.624291884114265E-03
     chi_1_1=  0.550000000000000E+00  -.171009553699890E+00  -.636922430261410E-03
     chi_1_1=  0.560000000000000E+00  -.171021168671075E+00  -.649615102752568E-03
     chi_1_1=  0.570000000000000E+00  -.171032977786385E+00  -.662371121552969E-03
     chi_1_1=  0.580000000000000E+00  -.171044979741720E+00  -.675191681141165E-03
     chi_1_1=  0.590000000000000E+00  -.171057173171716E+00  -.688077946854410E-03
     chi_1_1=  0.600000000000000E+00  -.171069556649011E+00  -.701031051046796E-03
     chi_1_1=  0.610000000000000E+00  -.171082128683691E+00  -.714052089059336E-03
     chi_1_1=  0.620000000000000E+00  -.171094887722926E+00  -.727142115001306E-03
     chi_1_1=  0.630000000000000E+00  -.171107832150811E+00  -.740302137342004E-03
     chi_1_1=  0.640000000000000E+00  -.171120960288445E+00  -.753533114312213E-03
